fovID,fovPosX,fovPosY
289,2426.7,3696.1
290,2426.7,3496.1
291,2426.7,3296.1
292,2426.7,3096.1
293,2426.7,2896.1
294,2426.7,2696.1
295,2426.7,2496.1
296,2426.7,2296.1
297,2626.7,2296.1
298,2626.7,2496.1
299,2626.7,2696.1
300,2626.7,2896.1
301,2626.7,3096.1
302,2626.7,3296.1
303,2626.7,3496.1
304,2626.7,3696.1
305,2626.7,3896.1
306,2826.6,3896.1
307,2826.6,3696.1
308,2826.6,3496.1
309,2826.6,3296.1
310,2826.6,3096.1
311,2826.6,2896.1
312,2826.6,2696.1
313,2826.6,2496.1
314,2826.6,2296.1
315,3026.6,2296.1
316,3026.6,2496.1
317,3026.6,2696.1
318,3026.6,2896.1
319,3026.6,3096.1
320,3026.6,3296.1
321,3026.6,3496.1
322,3026.6,3696.1
323,3026.6,3896.1
324,1495.7,-616
325,1495.7,-416
326,1495.7,-216
327,1495.7,-16
328,1495.7,184
329,1495.7,384
330,1495.7,584
331,1495.7,784
332,1495.7,984
333,1695.7,984
334,1695.7,784
335,1695.7,584
336,1695.7,384
337,1695.7,184
338,1695.7,-16
339,1695.7,-216
340,1695.7,-416
341,1695.7,-616
342,1895.7,-616
343,1895.7,-416
344,1895.7,-216
345,1895.7,-16
346,1895.7,184
347,1895.7,384
348,1895.7,584
349,1895.7,784
350,1895.7,984
351,2095.7,984
352,2095.7,784
353,2095.7,584
354,2095.7,384
355,2095.7,184
356,2095.7,-16
357,2095.7,-216
358,2095.7,-416
359,2095.7,-616
360,2295.7,-616
361,2295.7,-416
362,2295.7,-216
363,2295.7,-16
364,2295.7,184
365,2295.7,384
366,2295.7,584
367,2295.7,784
368,2295.7,984
369,2495.7,984
370,2495.7,784
371,2495.7,584
372,2495.7,384
373,2495.7,184
374,2495.7,-16
375,2495.7,-216
376,2495.7,-416
377,2495.7,-616
378,2695.7,-616
379,2695.7,-416
380,2695.7,-216
381,2695.7,-16
382,2695.7,184
383,2695.7,384
384,2695.7,584
385,2695.7,784
386,2695.7,984
387,2895.7,984
388,2895.7,784
389,2895.7,584
390,2895.7,384
391,2895.7,184
392,2895.7,-16
393,2895.7,-216
394,2895.7,-416
395,2895.7,-616
396,3095.7,-616
397,3095.7,-416
398,3095.7,-216
399,3095.7,-16
400,3095.7,184
401,3095.7,384
402,3095.7,584
403,3095.7,784
404,3095.7,984
405,1316.2,-3900.7
406,1316.2,-3700.8
407,1316.2,-3500.8
408,1316.2,-3300.8
409,1316.2,-3100.7
410,1316.2,-2900.7
411,1316.2,-2700.8
412,1316.2,-2500.8
413,1316.2,-2300.8
414,1516.2,-2300.8
415,1516.2,-2500.8
416,1516.2,-2700.8
417,1516.2,-2900.7
418,1516.2,-3100.7
419,1516.2,-3300.8
420,1516.2,-3500.8
421,1516.2,-3700.8
422,1516.2,-3900.7
423,1716.2,-3900.7
424,1716.2,-3700.8
425,1716.2,-3500.8
426,1716.2,-3300.8
427,1716.2,-3100.7
428,1716.2,-2900.7
429,1716.2,-2700.8
430,1716.2,-2500.8
431,1716.2,-2300.8
432,1916.2,-2300.8
433,1916.2,-2500.8
434,1916.2,-2700.8
435,1916.2,-2900.7
436,1916.2,-3100.7
437,1916.2,-3300.8
438,1916.2,-3500.8
439,1916.2,-3700.8
440,1916.2,-3900.7
441,2116.2,-3900.7
442,2116.2,-3700.8
443,2116.2,-3500.8
444,2116.2,-3300.8
445,2116.2,-3100.7
446,2116.2,-2900.7
447,2116.2,-2700.8
448,2116.2,-2500.8
449,2116.2,-2300.8
450,2316.2,-2300.8
451,2316.2,-2500.8
452,2316.2,-2700.8
453,2316.2,-2900.7
454,2316.2,-3100.7
455,2316.2,-3300.8
456,2316.2,-3500.8
457,2316.2,-3700.8
458,2316.2,-3900.7
459,2516.2,-3900.7
460,2516.2,-3700.8
461,2516.2,-3500.8
462,2516.2,-3300.8
463,2516.2,-3100.7
464,2516.2,-2900.7
465,2516.2,-2700.8
466,2516.2,-2500.8
