fovIDs,xStart,yStart,xEnd,yEnd
451,2204.693,-2612.307,2427.816,-2389.184
452,2204.693,-2812.307,2427.816,-2589.184
453,2204.693,-3012.207,2427.816,-2789.084
454,2204.693,-3212.207,2427.816,-2989.084
455,2204.693,-3412.307,2427.816,-3189.184
456,2204.693,-3612.307,2427.816,-3389.184
457,2204.693,-3812.307,2427.816,-3589.184
458,2204.693,-4012.207,2427.816,-3789.084
459,2404.693,-4012.207,2627.816,-3789.084
460,2404.693,-3812.307,2627.816,-3589.184
461,2404.693,-3612.307,2627.816,-3389.184
462,2404.693,-3412.307,2627.816,-3189.184
463,2404.693,-3212.207,2627.816,-2989.084
464,2404.693,-3012.207,2627.816,-2789.084
465,2404.693,-2812.307,2627.816,-2589.184
466,2404.693,-2612.307,2627.816,-2389.184
467,2404.693,-2412.307,2627.816,-2189.184
468,2604.693,-2412.307,2827.816,-2189.184
469,2604.693,-2612.307,2827.816,-2389.184
470,2604.693,-2812.307,2827.816,-2589.184
471,2604.693,-3012.207,2827.816,-2789.084
472,2604.693,-3212.207,2827.816,-2989.084
473,2604.693,-3412.307,2827.816,-3189.184
474,2604.693,-3612.307,2827.816,-3389.184
475,2604.693,-3812.307,2827.816,-3589.184
476,2604.693,-4012.207,2827.816,-3789.084
477,2804.693,-4012.207,3027.816,-3789.084
478,2804.693,-3812.307,3027.816,-3589.184
479,2804.693,-3612.307,3027.816,-3389.184
480,2804.693,-3412.307,3027.816,-3189.184
481,2804.693,-3212.207,3027.816,-2989.084
482,2804.693,-3012.207,3027.816,-2789.084
483,2804.693,-2812.307,3027.816,-2589.184
484,2804.693,-2612.307,3027.816,-2389.184
485,2804.693,-2412.307,3027.816,-2189.184
